source_id	policy	retention	write_amp	output_segments	query_partitions	avg_candidate_segments_per_query	candidate_bytes_total	exact_bytes_before	weighted_read_amp_proxy	verdict	claim_scope	source_path	source_sha256
C2-SF30-proxy	naive	0.0	1.07	503	40	93.6	282160000000	43250000000	6.52	REUSE_NARROW	real-SF30 metadata replay; not full body read or end-to-end latency	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/stage7-sf30-readamp-proxy-summary-20260622-cn.md	3a9af0d8856eddecdafd3f3167e4e8d02c861f2c755f600eb6778d1c2c4787c5
C2-SF30-proxy	semantic	1.0	1.24	528	40	13.2	43250000000	43250000000	1.0	REUSE_NARROW	real-SF30 metadata replay; not full body read or end-to-end latency	E:/文档/DGS项目复现/cidr-experiments/data/source-cache/stage7-sf30-readamp-proxy-summary-20260622-cn.md	3a9af0d8856eddecdafd3f3167e4e8d02c861f2c755f600eb6778d1c2c4787c5
