system	group	scale	scope	ops	avg_us	p50_us	p90_us	p99_us	load_s	peak_rss_kb	disk_total_bytes	correctness	claim_level	raw_artifact	notes
NebulaGraph	open-source-graph-db	SF1	all-types-summary	1700	61553.965884117766	581.01	10736.324	1189334.146	194.64351558685303	1673516	4552617537	PASS	measured graph DB baseline; NebulaGraph nGQL edge-type model	baseline/external-baselines-20260626/3plus3-baselines/systems/nebulagraph/sf1-smoke-r1	neighbors=7557645; batch_size=500; image=v3.8.0
NebulaGraph	open-source-graph-db	SF1	positive-edge-types-summary	850	1012.9550552941175	434.137	1955.453	11884.353	194.64351558685303	1673516	4552617537	PASS	measured graph DB baseline; NebulaGraph nGQL edge-type model	baseline/external-baselines-20260626/3plus3-baselines/systems/nebulagraph/sf1-smoke-r1	neighbors=42257; batch_size=500; image=v3.8.0
NebulaGraph	open-source-graph-db	SF1	negative-edge-types-summary	850	122094.9767129412	1063.557	37996.813	5773921.395	194.64351558685303	1673516	4552617537	PASS	measured graph DB baseline; NebulaGraph nGQL edge-type model	baseline/external-baselines-20260626/3plus3-baselines/systems/nebulagraph/sf1-smoke-r1	neighbors=7515388; batch_size=500; image=v3.8.0
NebulaGraph	open-source-graph-db	SF10	all-types-summary	1700	744146.6177941178	741.524	20218.339	14228169.276	2493.4713282585144	3665396	46185803519	PASS	measured graph DB baseline; NebulaGraph nGQL edge-type model	baseline/external-baselines-20260626/3plus3-baselines/systems/nebulagraph/sf10-main-r1	neighbors=84104814; batch_size=500; image=v3.8.0
NebulaGraph	open-source-graph-db	SF10	positive-edge-types-summary	850	1753.3543270588223	480.324	3450.354	20629.986	2493.4713282585144	3665396	46185803519	PASS	measured graph DB baseline; NebulaGraph nGQL edge-type model	baseline/external-baselines-20260626/3plus3-baselines/systems/nebulagraph/sf10-main-r1	neighbors=87168; batch_size=500; image=v3.8.0
NebulaGraph	open-source-graph-db	SF10	negative-edge-types-summary	850	1486539.8812611774	2035.727	98061.027	63139284.448	2493.4713282585144	3665396	46185803519	PASS	measured graph DB baseline; NebulaGraph nGQL edge-type model	baseline/external-baselines-20260626/3plus3-baselines/systems/nebulagraph/sf10-main-r1	neighbors=84017646; batch_size=500; image=v3.8.0
