variant	source	ops	hist_count	avg_us	p50_ub_us	p50_interp_us	p90_ub_us	p90_interp_us	p99_ub_us	p99_interp_us	merge_mode
naive	measured	45000	45000	5382.777777777777	2000.0	1529.8539289902974	20000.0	13577.25321888412	50000.0	42698.63994273443	sum-per-type
schema	measured	45000	45000	4906.222222222223	500.0	447.075412958283	20000.0	13716.596343178622	100000.0	77457.62711864407	sum-per-type
edge-type-only	measured	45000	45000	4288.777777777777	500.0	413.79401501533255	20000.0	13937.14092598851	50000.0	48960.205391527605	sum-per-type
semantic	measured	45000	45000	4731.111111111111	500.0	365.43335022807906	20000.0	14313.528029540113	100000.0	77202.07253886011	sum-per-type
budg-b64	measured	45000	45000	3658.3333333333335	250.0	245.2160168598525	20000.0	11990.886785839468	50000.0	47506.493506493505	sum-per-type
budg-b256	measured	45000	45000	3681.1111111111113	500.0	268.2459918640823	20000.0	11968.028419182949	50000.0	47312.97709923664	sum-per-type
budg-b1024	measured	45000	45000	4060.5555555555557	500.0	269.44935589795404	20000.0	12416.69589617678	100000.0	50641.02564102564	sum-per-type
kv-style	simulated(model)	45000							250000		per-type-summary-only
