system	group	scale	scope	ops	avg_us	p50_us	p90_us	p99_us	load_s	peak_rss_kb	disk_total_bytes	correctness	claim_level	raw_artifact	notes
Aster RocksGraph	problem-adjacent	SF1	all-types-summary	1700	150.985	10.68	381.904	3411.36	74.399302	1851684	1054936788	PASS	measured Aster/RocksGraph typed-neighbor bridge baseline	baseline/external-baselines-20260626/3plus3-baselines/systems/aster/sf1-smoke-r1	neighbors=7557645; bridge=compact logical vertex per (edge_type,src)
Aster RocksGraph	problem-adjacent	SF1	positive-edge-types-summary	850	8.64785	8.89	12.321	22.621	74.399302	1851684	1054936788	PASS	measured Aster/RocksGraph typed-neighbor bridge baseline	baseline/external-baselines-20260626/3plus3-baselines/systems/aster/sf1-smoke-r1	neighbors=42257; bridge=compact logical vertex per (edge_type,src)
Aster RocksGraph	problem-adjacent	SF1	negative-edge-types-summary	850	293.322	15.533	602.615	3618.67	74.399302	1851684	1054936788	PASS	measured Aster/RocksGraph typed-neighbor bridge baseline	baseline/external-baselines-20260626/3plus3-baselines/systems/aster/sf1-smoke-r1	neighbors=7515388; bridge=compact logical vertex per (edge_type,src)
Aster RocksGraph	problem-adjacent	SF10	all-types-summary	1700	1408.27	580.529	1061.24	15809.6	794.261865	15621088	10401409041	PASS	measured Aster/RocksGraph typed-neighbor bridge baseline	baseline/external-baselines-20260626/3plus3-baselines/systems/aster/sf10-main-r1	neighbors=84104814; bridge=compact logical vertex per (edge_type,src)
Aster RocksGraph	problem-adjacent	SF10	positive-edge-types-summary	850	564.505	558.747	917.97	1123.39	794.261865	15621088	10401409041	PASS	measured Aster/RocksGraph typed-neighbor bridge baseline	baseline/external-baselines-20260626/3plus3-baselines/systems/aster/sf10-main-r1	neighbors=87168; bridge=compact logical vertex per (edge_type,src)
Aster RocksGraph	problem-adjacent	SF10	negative-edge-types-summary	850	2252.04	710.325	1782.86	65524.1	794.261865	15621088	10401409041	PASS	measured Aster/RocksGraph typed-neighbor bridge baseline	baseline/external-baselines-20260626/3plus3-baselines/systems/aster/sf10-main-r1	neighbors=84017646; bridge=compact logical vertex per (edge_type,src)
