system	scale	check	expected	observed	status	raw_artifact	notes
Aster RocksGraph	SF1	query_count_digest	checked=1700; mismatches=0	checked=1700; mismatches=0	PASS	baseline/external-baselines-20260626/3plus3-baselines/systems/aster/sf1-smoke-r1/result.json	fixed Neo4j truth-s50-seed42.tsv vs Aster compact typed-neighbor bridge
Aster RocksGraph	SF10	query_count_digest	checked=1700; mismatches=0	checked=1700; mismatches=0	PASS	baseline/external-baselines-20260626/3plus3-baselines/systems/aster/sf10-main-r1/result.json	fixed Neo4j truth-s50-seed42.tsv vs Aster compact typed-neighbor bridge
